,Unnamed: 0,agent0_angle,time,frames,agent1_angle,agent1_x,agent0_y,agent0_x,agent1_y,agent0_vx,agent0_vy,agent0_speed,agent0/agent1_dist,agent1_vx,agent1_vy,agent1_speed
466,466,152.06,Wed Mar 01 12:17:36 2017,467,280.742,55.9949,61.6529,50.0217,60.362,-1.109700195312517,-2.1142708984374394,,6.111099823272402,0.015928710937500604,-1.881711718749991,
467,467,178.77700000000004,Wed Mar 01 12:17:36 2017,468,278.93,55.9964,61.5523,50.0197,60.1848,-1.0757189453125207,-1.0332423828125443,,6.131149903566215,-1.855163867187515,-3.7782902343750226,
468,468,190.829,Wed Mar 01 12:17:36 2017,469,278.173,55.8202,61.5556,49.9204,60.0062,-2.1344472656250058,-1.0130660156250535,,6.099859047551836,-1.855163867187515,-3.779352148437558,
469,469,200.414,Wed Mar 01 12:17:36 2017,470,276.737,55.8217,61.4569,49.8187,59.8289,-5.270279492187479,1.2403156250000522,,6.219838663502455,0.015928710937500604,-1.8827736328125262,
470,470,218.926,Wed Mar 01 12:17:36 2017,471,276.737,55.8217,61.6724,49.4241,59.8289,-7.348445312500003,3.4639636718750006,,6.6579109343697285,0.015928710937500604,-1.8827736328124507,
471,471,222.954,Wed Mar 01 12:17:36 2017,472,275.361,55.8232,61.7831,49.1267,59.6516,-8.326468164062524,7.826306640624945,,7.027546122225025,0.03185742187500121,-3.765547265624977,
472,472,216.57,Wed Mar 01 12:17:37 2017,473,276.276,55.8247,62.4094,48.64,59.4743,-7.2730494140624895,7.7965730468750145,,7.761103407377071,0.03079550781246596,-3.7655472656250524,
473,473,205.996,Wed Mar 01 12:17:37 2017,474,279.98400000000004,55.8261,62.5173,48.4418,59.297,-3.1230892578125027,3.3397197265625262,,8.05594305962995,0.014866796874965352,-1.8827736328125262,
474,474,193.807,Wed Mar 01 12:17:37 2017,475,279.98400000000004,55.8261,62.7239,48.3459,59.297,-5.272403320312474,2.3160345703124974,,8.227820832395414,0.0,0.0,
475,475,175.608,Wed Mar 01 12:17:37 2017,476,283.814,55.8261,62.7354,47.9453,59.297,-8.508055468750015,0.24530214843749423,,8.598232562567722,-1.8710925781249401,-1.8965785156249564,
476,476,163.872,Wed Mar 01 12:17:37 2017,477,285.386,55.6499,62.747,47.5447,59.1184,-7.4652558593750316,-0.8707695312500079,,8.880371895365647,-1.8551638671874395,-3.7793521484374826,
477,477,146.609,Wed Mar 01 12:17:37 2017,478,286.313,55.6514,62.6534,47.2423,58.9411,-6.450066015624984,-3.0657458984374855,,9.192069086990156,0.015928710937500604,-1.8827736328125262,
478,478,140.13,Wed Mar 01 12:17:37 2017,479,286.313,55.6514,62.4583,46.9373,58.9411,-6.477675781249994,-4.140402929687471,,9.397139705782822,0.0,0.0,
479,479,138.15,Wed Mar 01 12:17:37 2017,480,287.759,55.6514,62.2635,46.6323,58.9411,-7.602242773437476,-6.269540625000027,,9.61158189737777,0.015928710937500604,-1.8838355468749859,
480,480,154.661,Wed Mar 01 12:17:37 2017,481,287.309,55.6529,61.8679,46.2214,58.7637,-4.383581250000046,-5.276650976562539,,9.929211947078176,0.03185742187500121,-3.7666091796875123,
481,481,168.94,Wed Mar 01 12:17:37 2017,482,289.275,55.6544,61.7666,46.2195,58.5864,-2.173738085937527,-2.088784960937499,,9.956455697184621,0.015928710937500604,-1.8827736328125262,
482,482,190.364,Wed Mar 01 12:17:37 2017,483,289.275,55.6544,61.6712,46.0167,58.5864,-4.276327929687456,-0.9482892578124404,,10.11935039071185,0.015928710937500604,-1.8838355468749859,
483,483,203.23,Wed Mar 01 12:17:37 2017,484,289.468,55.6559,61.6773,45.8168,58.409,-3.159194335937494,1.1808484375000399,,10.367722686299054,0.03079550781246596,-3.7666091796875123,
