,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
244,Attraction,follows,31.5779,26.645,139.486,2.4344900000000003,1
245,Attraction,follows,31.3686,26.5419,141.714,2.47337,1
246,Attraction,follows,31.0529,26.3343,148.31,2.5885,1
247,Attraction,follows,30.8434,26.2311,150.947,2.6345099999999997,1
248,Attraction,follows,30.6308,26.0219,150.944,2.63446,1
249,Attraction,follows,30.2114,25.8149,150.944,2.63448,1
250,Attraction,follows,30.0015,25.7112,148.311,2.58851,1
251,Attraction,follows,29.6853,25.5027,141.722,2.4735099999999997,1
252,Attraction,follows,29.4754,25.3992,144.101,2.51503,1
253,Attraction,follows,29.2653,25.2954,141.725,2.47358,1
254,Attraction,follows,29.1589,25.1905,137.57,2.4010599999999998,1
255,Attraction,follows,29.1559,25.0848,139.808,2.4401200000000003,1
256,Attraction,follows,29.1559,25.0848,139.808,2.4401200000000003,1
257,Attraction,follows,29.1559,25.0848,139.808,2.4401200000000003,1
258,Attraction,follows,29.049,24.9797,139.5,2.43473,1
259,Attraction,follows,28.9457,24.9808,137.57,2.40105,1
260,Attraction,follows,28.8389,24.8761,141.72299999999998,2.47353,1
261,Attraction,follows,28.6256,24.6664,141.722,2.4735099999999997,1
262,Attraction,follows,28.4154,24.5627,144.09799999999998,2.51499,1
263,Attraction,follows,28.2049,24.4587,141.725,2.47358,1
264,Attraction,follows,27.9914,24.2488,141.724,2.47356,1
265,Attraction,follows,27.8847,24.1437,137.57399999999998,2.4011099999999996,1
266,Attraction,follows,27.7749,23.9327,135.49,2.36475,1
267,Attraction,follows,27.5643,23.8284,133.416,2.32855,1
268,Attraction,follows,27.3505,23.6183,133.417,2.32856,1
269,Attraction,follows,27.3505,23.6183,133.417,2.32856,1
270,Attraction,follows,27.2434,23.5133,137.572,2.40109,1
271,Attraction,follows,27.1363,23.4083,141.72,2.4734700000000003,1
272,Attraction,follows,26.9224,23.198,141.718,2.47345,1
273,Attraction,follows,26.9224,23.198,141.718,2.47345,1
274,Attraction,follows,26.9192,23.092,144.08700000000002,2.51479,1
275,Attraction,follows,26.9192,23.092,144.08700000000002,2.51479,1
276,Attraction,follows,26.8156,23.093000000000004,142.213,2.48208,1
277,Attraction,follows,26.8156,23.093000000000004,142.213,2.48208,1
278,Attraction,follows,26.8124,22.9867,139.805,2.44006,1
279,Attraction,follows,26.7083,22.9876,141.717,2.47343,1
280,Attraction,follows,26.6047,22.9886,139.81,2.44014,1
281,Attraction,follows,26.6047,22.9886,139.81,2.44014,1
282,Attraction,follows,26.6047,22.9886,139.81,2.44014,1
283,Attraction,follows,26.6047,22.9886,139.81,2.44014,1
284,Attraction,follows,26.6014,22.8822,137.571,2.4010700000000003,1
285,Attraction,follows,26.4978,22.8833,135.495,2.36484,1
286,Attraction,follows,26.3904,22.7778,135.495,2.36484,1
287,Attraction,follows,26.2836,22.6728,135.495,2.36484,1
288,Attraction,follows,26.2836,22.6728,135.495,2.36484,1
289,Attraction,follows,26.2836,22.6728,135.495,2.36484,1
290,Attraction,follows,26.2836,22.6728,135.495,2.36484,1
291,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
292,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
293,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
294,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
295,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
296,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
297,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
298,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
299,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
300,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
301,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
302,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
303,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
304,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
305,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
306,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
307,Attraction,follows,26.1762,22.5672,135.495,2.36484,1
308,Attraction,follows,26.0725,22.5682,133.424,2.32869,1
309,Attraction,follows,26.0725,22.5682,133.424,2.32869,1
310,Attraction,follows,26.0692,22.4618,131.503,2.2951599999999996,1
311,Attraction,follows,26.0692,22.4618,131.503,2.2951599999999996,1
312,Attraction,follows,26.0692,22.4618,131.503,2.2951599999999996,1
313,Attraction,follows,25.9655,22.4628,129.308,2.25685,1
314,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
315,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
316,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
317,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
318,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
319,Attraction,follows,25.9623,22.3567,131.19799999999998,2.2898400000000003,1
320,Attraction,follows,25.9587,22.2505,137.57,2.40105,1
321,Attraction,follows,25.8546,22.2517,144.085,2.51476,1
322,Attraction,follows,25.9584,22.2507,145.805,2.54478,1
323,Attraction,follows,25.9584,22.2507,145.805,2.54478,1
324,Attraction,follows,25.9552,22.1446,148.278,2.58793,1
325,Attraction,follows,25.8543,22.2519,152.36,2.65918,1
326,Attraction,follows,25.8543,22.2519,152.36,2.65918,1
327,Attraction,follows,25.9549,22.1448,156.276,2.7275400000000003,1
328,Attraction,follows,25.9584,22.2516,164.747,2.8753900000000003,1
329,Attraction,follows,25.851,22.1464,168.417,2.93942,1
